dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,10,C,ferrocene_C,,2.774293,-0.365726,3.184727
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,11,C,ferrocene_C,,2.861731,0.968496,2.664658
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,6,Fe,ferrocene_Fe,,2.879871,-0.391619,1.160142
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,74,Ti,metal_center,,-0.58708,-1.409126,-0.945143
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,16,O,phenoxy_O,,-2.348639,-1.672494,-0.361171
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,24,O,phenoxy_O,,-0.935414,0.399076,-1.523406
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,26,O,alkoxide_O,,2.038256,1.836102,1.982445
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,62,O,alkoxide_O,,2.256927,3.793024,-0.193251
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,39,N,donor_N,,-1.956702,0.321082,1.116865
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,40,N,donor_N,,0.830418,-1.445447,-1.134905
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,1,C,ferrocene_C,,-3.522572,-1.537834,0.46287
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,2,C,ferrocene_C,,-2.456992,-0.944499,1.225661
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,3,C,ferrocene_C,,-1.8851,-1.981772,2.050743
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,4,C,ferrocene_C,,-2.693559,-3.155386,1.902288
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,5,C,ferrocene_C,,-3.698492,-2.881854,0.923017
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,7,C,ferrocene_C,,-1.304564,-2.517163,-1.856059
